date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:03:57	550/550	---M--	200	added ('OK')	image/png	etag:%22226-677cbe18-fc4444f22b25742f;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/feature/swiper.png	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/feature/swiper.png	(from https://html.hixstudio.net/uncut-pv/index.html)
21:03:58	7752/7752	---M--	200	added ('OK')	image/png	etag:%221e48-677cbe18-804ee43380c8868c;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/feature/contact.png	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/feature/contact.png	(from https://html.hixstudio.net/uncut-pv/index.html)
21:03:58	833/833	---M--	200	added ('OK')	image/png	etag:%22341-677cbe18-c82cf295181f2d7;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/feature/google.png	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/feature/google.png	(from https://html.hixstudio.net/uncut-pv/index.html)
21:03:58	1406/1406	---M--	200	added ('OK')	image/png	etag:%2257e-677cbe18-d0dc7e3025c55c59;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/feature/w3c.png	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/feature/w3c.png	(from https://html.hixstudio.net/uncut-pv/index.html)
21:03:58	1818/1818	---M-Z	200	added ('OK')	image/svg+xml	etag:%2271a-677cbe18-49d9946d3aeeec5a;gz%22	https://html.hixstudio.net/uncut-pv/assets/img/responsive/icon-1.svg	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/responsive/icon-1.svg	(from https://html.hixstudio.net/uncut-pv/index.html)
21:03:59	1362/1362	---M-Z	200	added ('OK')	image/svg+xml	etag:%22552-677cbe18-56df8fed05f134f4;gz%22	https://html.hixstudio.net/uncut-pv/assets/img/responsive/icon-2.svg	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/responsive/icon-2.svg	(from https://html.hixstudio.net/uncut-pv/index.html)
21:03:59	1194/1194	---M-Z	200	added ('OK')	image/svg+xml	etag:%224aa-677cbe18-da0250dc3a21ef9c;gz%22	https://html.hixstudio.net/uncut-pv/assets/img/responsive/icon-3.svg	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/responsive/icon-3.svg	(from https://html.hixstudio.net/uncut-pv/index.html)
21:03:59	1200/1200	---M-Z	200	added ('OK')	image/svg+xml	etag:%224b0-677cbe18-80f1d2b982120d99;gz%22	https://html.hixstudio.net/uncut-pv/assets/img/responsive/icon-4.svg	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/responsive/icon-4.svg	(from https://html.hixstudio.net/uncut-pv/index.html)
21:04:00	17560/17560	---M--	200	added ('OK')	image/png	etag:%224498-677cbe18-c364f082cfaed4ab;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/responsive/mocup-inner-2.png	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/responsive/mocup-inner-2.png	(from https://html.hixstudio.net/uncut-pv/index.html)
21:04:00	19192/19192	---M--	200	added ('OK')	image/png	etag:%224af8-677cbe18-c5d741281ce32249;;;%22	https://html.hixstudio.net/uncut-pv/assets/img/responsive/mocup-inner-1.png	E:/0/ME/Dornika/themeforest-ltr/uncut/html.hixstudio.net/uncut-pv/assets/img/responsive/mocup-inner-1.png	(from https://html.hixstudio.net/uncut-pv/index.html)
